        x           yn          zn          ∫yn² 
-5.000000000e+00 0.000000000e+00 9.995000000e+01 0.000000000e+00
-4.979959920e+00 2.002920522e+00 9.993578385e+01 4.289601962e+03
-4.959919840e+00 4.005271282e+00 9.988745330e+01 1.716487038e+04
-4.939879760e+00 6.006368737e+00 9.980502289e+01 3.864715358e+04
-4.919839680e+00 8.005529728e+00 9.968851883e+01 6.877340644e+04
-4.899799600e+00 1.000207172e+01 9.953797896e+01 1.075963228e+05
-4.879759520e+00 1.199531304e+01 9.935345271e+01 1.551845260e+05
-4.859719440e+00 1.398457309e+01 9.913500115e+01 2.116228190e+05
-4.839679360e+00 1.596917261e+01 9.888269692e+01 2.770124934e+05
-4.819639280e+00 1.794843387e+01 9.859662421e+01 3.514717010e+05
-4.799599200e+00 1.992168093e+01 9.827687876e+01 4.351358862e+05
-4.779559121e+00 2.188823989e+01 9.792356780e+01 5.281582837e+05
-4.759519041e+00 2.384743906e+01 9.753681002e+01 6.307104812e+05
-4.739478961e+00 2.579860924e+01 9.711673554e+01 7.429830500e+05
-4.719438881e+00 2.774108394e+01 9.666348586e+01 8.651862462e+05
-4.699398801e+00 2.967419958e+01 9.617721381e+01 9.975507840e+05
-4.679358721e+00 3.159729575e+01 9.565808352e+01 1.140328685e+06
-4.659318641e+00 3.350971543e+01 9.510627030e+01 1.293794206e+06
-4.639278561e+00 3.541080518e+01 9.452196067e+01 1.458244850e+06
-4.619238481e+00 3.729991543e+01 9.390535225e+01 1.634002458e+06
-4.599198401e+00 3.917640064e+01 9.325665366e+01 1.821414400e+06
-4.579158321e+00 4.103961953e+01 9.257608453e+01 2.020854852e+06
-4.559118241e+00 4.288893532e+01 9.186387535e+01 2.232726173e+06
-4.539078161e+00 4.472371597e+01 9.112026745e+01 2.457460390e+06
-4.519038081e+00 4.654333433e+01 9.034551286e+01 2.695520793e+06
-4.498998001e+00 4.834716839e+01 8.953987430e+01 2.947403637e+06
-4.478957921e+00 5.013460152e+01 8.870362500e+01 3.213639976e+06
-4.458917841e+00 5.190502263e+01 8.783704868e+01 3.494797624e+06
